id,state,lat,lon
USC00021514,AZ,33.2058,-111.6819
USC00021574,AZ,34.54,-110.9153
USC00021614,AZ,34.3494,-111.6981
USC00021654,AZ,34.7569,-112.4567
USC00021664,AZ,32.0061,-109.3572
USC00021849,AZ,33.0561,-109.3072
USC00021920,AZ,36.9936,-112.9719
USC00022109,AZ,34.305,-112.165
USC00022140,AZ,31.3456,-110.2542
USC00022434,AZ,32.9711,-113.4981
USC00022527,AZ,35.2947,-113.3664
USC00022659,AZ,31.345,-109.5394
USC00022754,AZ,32.7481,-109.1214
USC00022782,AZ,33.4192,-111.6444
USC00022790,AZ,33.6133,-114.4706
USC00022807,AZ,32.7819,-111.5186
USC00023009,AZ,35.1611,-111.7311
USC00023027,AZ,33.0364,-111.3881
USC00023110,AZ,32.6231,-109.9428
USC00023150,AZ,33.0094,-109.9855
USC00023160,AZ,35.2681,-111.7428
USC00023190,AZ,33.6028,-111.7131
USC00023303,AZ,35.7164,-109.5661
USC00023393,AZ,32.9481,-112.7131
USC00023448,AZ,34.1111,-111.2758
USC00023505,AZ,33.3767,-110.7711
USC00023596,AZ,36.0528,-112.1503
USC00023668,AZ,31.8931,-110.9978
USC00023683,AZ,34.0219,-109.4519
USC00023828,AZ,34.7433,-111.4139
USC00023961,AZ,34.3925,-110.5581
USC00024053,AZ,34.47,-112.8881
USC00024089,AZ,34.9094,-110.1544
USC00024182,AZ,33.9825,-111.7139
USC00024391,AZ,34.4025,-111.6181
USC00024453,AZ,34.7522,-112.1114
USC00024586,AZ,35.8111,-110.1917
USC00024590,AZ,33.0483,-110.9125
USC00024675,AZ,31.96,-111.5972
USC00024702,AZ,33.2742,-113.9653
USC00024761,AZ,34.5031,-114.3603
USC00024829,AZ,33.3369,-112.1472
USC00024849,AZ,36.8644,-111.6022
USC00024977,AZ,33.4992,-112.3631
USC00025129,AZ,36.4192,-109.2269
USC00025270,AZ,33.1139,-112.0303
USC00025412,AZ,34.1142,-109.8589
USC00025418,AZ,31.6017,-109.6686
USC00025426,AZ,36.0183,-114.0681
USC00025467,AZ,33.4114,-111.8183
USC00025512,AZ,33.4044,-110.87
USC00025635,AZ,34.6106,-111.8381
USC00025665,AZ,36.9853,-110.12
USC00025700,AZ,33.5544,-111.4425
USC00025780,AZ,34.9364,-111.6392
USC00025825,AZ,34.3222,-111.4533
USC00025908,AZ,32.1167,-110.6833
USC00025924,AZ,31.4553,-110.9681
USC00026037,AZ,34.9589,-111.7553
USC00026119,AZ,32.6025,-110.7344
USC00026132,AZ,31.9556,-112.8003
USC00026180,AZ,36.9208,-111.4483
USC00026190,AZ,35.0681,-109.7689
USC00026194,AZ,33.0772,-113.0317
USC00026250,AZ,34.1547,-114.2897
USC00026282,AZ,31.5481,-110.7517
USC00026328,AZ,35.5406,-113.4236
USC00026353,AZ,31.9356,-109.8378
USC00026468,AZ,34.7994,-109.885
USC00026471,AZ,36.1383,-112.0958
USC00026513,AZ,32.6464,-111.4017
USC00026597,AZ,34.1167,-109.9333
USC00026601,AZ,34.1242,-109.9219
USC00026603,AZ,33.7275,-111.8606
USC00026616,AZ,36.8586,-112.7386
USC00026653,AZ,34.0989,-110.9442
USC00026716,AZ,31.8828,-109.2058
USC00026796,AZ,34.5706,-112.4322
USC00026840,AZ,33.8556,-111.3064
USC00026865,AZ,33.665,-114.2272
USC00027036,AZ,32.3903,-110.4667
USC00027281,AZ,33.6731,-111.1508
USC00027334,AZ,31.7561,-109.4131
USC00027370,AZ,33.0722,-111.7661
USC00027390,AZ,32.815,-109.6808
USC00027435,AZ,34.5172,-109.4028
USC00027462,AZ,33.6833,-113.4833
USC00027480,AZ,33.1819,-110.5261
USC00027488,AZ,35.2239,-109.3222
USC00027530,AZ,32.6014,-110.6339
USC00027560,AZ,32.2714,-109.2256
USC00027593,AZ,31.7625,-110.8464
USC00027619,AZ,31.4831,-111.5436
USC00027622,AZ,31.6036,-111.6022
USC00027625,AZ,31.5717,-111.5056
USC00027708,AZ,34.8956,-111.7644
USC00027716,AZ,35.3322,-112.8797
USC00027855,AZ,34.2639,-110.0075
USC00027880,AZ,31.5553,-110.2847
USC00028012,AZ,34.5081,-110.0839
USC00028018,AZ,34.5,-110.3333
USC00028112,AZ,33.3814,-112.07
USC00028162,AZ,34.1311,-109.275
USC00028214,AZ,33.5575,-111.5358
USC00028329,AZ,35.3694,-111.5436
USC00028348,AZ,33.3003,-111.0972
USC00028349,AZ,33.305,-111.0672
USC00028396,AZ,32.7225,-113.9192
USC00028468,AZ,36.9233,-109.09
USC00028499,AZ,33.4258,-111.9217
USC00028516,AZ,36.03,-114.3289
USC00028598,AZ,33.4519,-112.2433
USC00028619,AZ,31.7119,-110.0686
USC00028641,AZ,33.4203,-112.86
USC00028650,AZ,34.3839,-111.0972
USC00028792,AZ,36.1306,-111.2436
USC00028795,AZ,32.2542,-111.1961
USC00028796,AZ,32.2817,-110.9442
USC00028800,AZ,32.25,-110.8333
USC00028815,AZ,32.2292,-110.9536
USC00028817,AZ,32.2581,-111.0053
USC00028865,AZ,31.5678,-111.0497
